nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Abbaretz;481614;44170;40825;27466;22773;38473;38027;35637;33021;35989
Ablon-sur-Seine;545269;94480;1203692;1594567;660309;1457253;1462108;1471462;1453063;1427319
Achères Grand Cormier;386052;78100;177092;209673;126513;221003;228032;235698;238687;241046
Acheux - Franleu;316745;80560;2;0;0;2;235;104;308;898
Aigrefeuille le Thou;485193;17290;51200;32989;24987;31170;18670;14513;266;0
Aigueperse;734129;63260;70599;55143;50677;75954;70745;77218;78088;75873
Aillevillers;185629;70320;5628;5715;8639;7348;4429;5594;5942;6932
Ailly-sur-Somme;313098;80470;133695;112866;105120;134750;126145;130664;123926;130027
Albias;613398;82350;26119;19376;11378;11386;8780;11579;9415;10586
Albigny - Neuville;721266;69250;331589;248756;186241;238564;229444;246020;231790;239630
Allée Royale T13;710913;78210;0;0;0;0;0;0;0;0
Amplepuis;721035;69550;314879;245200;206265;317136;276412;317836;298064;289331
Andelot-en-Montagne;715102;39320;25960;9982;4698;5782;4050;6806;9288;9918
Angers Maître École;484048;49000;33549;23674;18317;23126;16070;12708;12663;16649
Angerville;543090;91670;151343;130031;75617;183224;175547;170954;162250;153525
Anzeling;191387;57320;1081;1789;1560;1591;1191;744;657;791
Arbanats;582726;33640;51865;50805;46502;58138;42489;40409;38450;40206
Arc-et-Senans;718841;25610;77323;56289;47438;55544;43376;50233;47098;43531
Arcy-sur-Cure;683680;89270;4514;3008;2568;2752;2091;2408;1962;2249
Argenteuil;381848;95100;16033835;14527144;8206484;16219640;16094786;15608674;15388969;14929217
Argenton-sur-Creuse;597120;36200;199166;145226;118590;153723;128952;134473;126215;136447
Arles;753657;13200;781295;589761;358566;690306;646535;715084;677260;688498
Arnage;396549;72230;10403;8831;7963;12703;14550;17688;15575;19029
Arrou;394486;28290;11613;9504;7471;8096;7113;7322;6770;6001
Aubazines - Saint-Hilaire;594465;19190;9738;6209;5011;8137;6662;8054;7895;8467
Aubiat;734111;63260;7790;5672;5053;8809;7945;6420;4849;4419
Aubigny-au-Bac;345447;59265;28473;23090;25519;50636;44209;47944;49293;52267
Aubrives;172122;8320;11188;9456;9818;10424;9357;9767;9191;9739
Auch;611749;32000;261165;194599;151588;225670;191987;239210;217086;232730
Auray;476200;56400;1110096;867879;623457;887927;786183;829917;798576;790588
Auterive;611384;31190;356140;301569;258534;343578;316911;396360;394346;410463
Auxonne;713347;21130;362209;258572;246666;298952;270708;284494;272128;269718
Avord;576439;18520;53799;39421;28256;35132;27513;28903;26383;26562
Avoudrey;718551;25690;22034;10155;13740;21973;15850;17198;17448;19852
Aytré Plage;437806;17440;13419;9707;7205;11310;9352;11792;12485;13118
Azay-le-Rideau;571638;37190;112458;76788;66667;84578;72388;71656;70146;70977
Azerailles;141408;54122;11158;8498;7448;10951;10053;11678;12881;15799
Babinière;590349;44240;53740;32561;34528;65168;93097;114818;107295;96983
Bagneaux-sur-Loing;684191;77167;24011;28521;13759;29663;57849;114246;223786;439600
Bagnols-sur-Cèze;764571;30200;18495;0;0;0;0;0;0;0
Balsièges Bourg;111864;48000;26;0;16;12;6;2;5;3
Bannalec;474189;29380;41701;29217;25645;28103;22562;22688;23072;23529
Bantzenheim;182840;68490;6457;5363;4662;7285;8034;9423;10091;10914
Barenton-Bugny;297291;2000;11089;9498;6211;6141;8608;11174;10665;9537
Bas Évette;184200;90350;11503;6392;3614;6821;5387;6267;5992;6166
Bassens;581850;33530;60486;38136;23363;39149;24017;18450;13262;16097
Bayard;175133;52170;119;145;193;981;2074;1296;1730;2037
Bayon;141218;54290;163022;127453;106890;139986;131165;140910;140514;146075
Bayonne;673004;64100;1322129;1000265;660529;948134;829006;901165;800871;839085
Baziège;611723;31450;94556;72192;52111;55961;50573;68316;67474;74680
Beautiran;582700;33640;345518;252152;189370;275136;235945;220784;202064;178820
Beauvoir-sur-Niort;485342;79360;38082;29514;25176;26170;24235;24545;24094;22629
Bédarieux;781609;34600;35301;23592;16035;13726;15337;17095;16859;17230
Belfort;184002;90000;1245496;908286;775926;1124537;1006802;1146193;1059616;1159439
Bena Fanes;784892;66760;86;46;23;78;33;4;10;2
Bénestroff;192302;57670;10350;8422;7919;11223;9158;8829;7830;7232
Bernay;444299;27300;544544;401880;336799;477308;447200;484156;465550;484258
Béziers;781005;34500;1490704;1192730;831286;1129019;1214111;1441893;1374338;1257794
Biache-Saint-Vaast;342097;62118;63288;47484;37582;61097;57790;64218;59082;60233
Biarritz;673400;64200;731466;630302;431935;571419;496224;501005;419448;422384
Bièvres;393546;91570;352463;280066;172854;426162;444063;467275;481167;493181
Bischoffsheim;214296;67830;118917;102113;92984;133047;122565;122728;122510;127673
Boisset;645184;15600;368;78;13;61;58;82;120;174
Boissy-l'Aillerie;381152;95650;255631;237004;88484;207727;221223;239132;251490;233191
Bolquère - Eyne;784801;66210;4537;3333;2147;1965;1188;1378;1473;1720
Bondy;113407;93140;14605023;11082849;7412905;12574385;12799616;13024968;13017323;12955985
Bonnemain;478065;35270;5434;3107;3261;4671;4713;7397;8156;6891
Boran-sur-Oise;276444;60820;41848;34587;24170;41161;44209;46272;43084;42347
Boulainvilliers;543181;75016;2585668;1151507;723394;3130349;3290898;3484634;3615337;3728741
Boulazac;725473;24750;17196;4401;53;0;0;0;0;0
Bourg-Bruche;214775;67420;9285;7693;8323;7947;7918;8579;8146;8569
Bourg-en-Bresse;743005;1000;1816923;1453090;1214094;1770487;1662833;1814080;1728014;1784643
Bourges;576207;18000;1148025;829220;615575;980131;843252;915112;880015;957058
Bourgoin-Jallieu;723429;38300;1846340;1381493;922883;1855873;1765349;1838742;1701021;1605895
Bourgtheroulde - Thuit-Hébert;415323;27520;11589;8528;5189;2424;1534;1717;2347;2591
Bouthéon;726216;42160;38939;34858;26961;43426;33990;37248;32178;36970
Brandérion;476242;56700;11356;6799;7003;8446;3550;2015;1601;2008
Brassac-les-Mines - Sainte-Florine;734244;63570;111809;86092;75737;102367;95369;111519;108499;114501
Breil-sur-Roya;756833;6540;67208;27475;32917;70196;60658;71707;57215;51425
Brélidy - Plouëc;473827;22140;3917;3841;5021;4787;2925;1748;2270;2903
Bretenoux - Biars;594762;46130;21440;12182;9375;15092;14024;16366;18328;21919
Bréval;381624;78980;308723;247376;127358;324134;339493;361155;375428;387979
Brignac;592063;87400;249;120;64;98;65;251;163;72
Broye;694166;71190;6581;5014;5732;4836;6919;7856;6225;5896
Bussac-Forêt;491191;17100;3818;3217;2216;2918;3155;3470;2421;2949
Busseau sur Creuse;597708;23150;1484;1187;628;551;764;1223;1022;1417
Calais - Fréthun;281071;62185;688087;497057;415684;773711;714434;747269;706331;698676
Calonne-Ricouart;342543;62470;30702;20684;9333;54456;57276;65520;72788;70921
Cannes;757625;6400;4487177;3217787;2289665;4073099;3503089;3853968;3460278;3566157
Capdenac;613109;12700;164724;121278;82518;107834;71224;75990;73838;76135
Carantilly - Marigny;447144;50570;0;0;0;0;1403;1948;1404;1697
Carbonne;611061;31390;301802;217819;191932;242174;211810;275991;264504;285182
Carnoles;756478;6180;677784;530774;412844;681005;569840;621458;547273;457493
Carpentras;765735;84000;276232;231161;163728;313857;313065;356186;257686;149254
Castelsarrasin;611897;82100;114255;90966;61749;76508;68087;82548;84572;86276
Cattenières;345587;59217;397;271;248;544;1;8;3;13
Cergy Saint-Christophe;382499;95800;6961854;7818214;5544432;7560627;7359555;7125540;6806298;6453027
Cessieu;723452;38110;53457;34699;24956;33073;24194;26634;29977;29255
Ceyzériat;743302;1250;5267;3769;3169;6762;4123;4694;4885;4297
Chabanais;592873;16150;0;0;16;2255;3850;7182;6541;6885
Chabenet;597112;36800;135;121;155;87;95;115;80;99
Chamarande;545152;91730;146618;141799;89603;177504;188475;201279;210255;220105
Chambéry - Challes-les-Eaux;741009;73010;4316253;3195946;2466954;3701807;3447007;3781533;3624235;3782600
Chamonix-Mont-Blanc;746784;74400;170534;113584;100733;150679;134648;142873;143725;152296
Chamousset;741231;73390;38042;29576;22831;25795;27915;32484;28457;26523
Champ de Courses d'Enghien;276030;95230;1974639;1828450;943277;2096797;2066509;2072979;2155045;2229912
Champagne-Ardenne TGV;171926;51430;1033729;716909;564137;1154599;969535;989282;900104;917725
Chanteloup-les-Vignes;381475;78570;948491;826353;331726;719119;757040;796777;823290;838046
Chantenay-Saint-Imbert;696302;58240;9463;10215;11116;7703;6355;7940;7642;7487
Chapeauroux;734343;48600;1454;1153;611;707;500;500;464;311
Chaponval;276162;95430;47276;35917;24510;55733;55078;54127;53547;53160
Chartrettes;682419;77590;44116;58961;24561;53428;51957;50979;48843;46822
Châteaubourg;471524;35220;548808;389297;358738;465229;417333;419143;401892;390234
Châteaudun;545756;28200;180998;126726;85850;119897;97281;100024;98778;109346
Château-Renault;574665;37110;101627;69991;52114;68702;58237;57896;61802;66646
Château-Thierry;116582;2400;1482999;1191637;955709;1590892;1604230;1739984;1786537;1924022
Châtel-Censoir;696856;89660;6712;4143;3101;4959;3339;3511;3124;3652
Chauffailles;694778;71170;42962;30737;24170;30581;22345;19261;26956;31888
Chaumont;142000;52000;352144;258099;217313;343328;337021;391954;393953;420282
Chaumont-en-Vexin;381228;60240;294064;256106;177716;310770;311075;373983;377857;386236
Chaville - Vélizy;393173;92370;1243912;817000;538929;1505780;1623827;1754176;1860522;1963899
Cheilly-lès-Maranges;694398;71150;17507;9269;11925;10672;8213;6454;5515;4566
Chelles - Gournay;116111;77500;9379970;7258472;5503458;10874698;10902348;10947125;10797607;10591778
Chemillé-en-Anjou;484246;49120;160348;116463;90698;156909;145513;171319;165826;177670
Chemin d'Antony;546317;92160;330557;218101;187523;400187;394028;391171;380440;367722
Chenonceaux;574491;37150;61257;39711;30101;45390;44593;48742;48162;46471
Cherbourg;444877;50100;587973;418713;318696;576122;516083;574314;553961;592294
Chevaigné;471458;35250;75065;45317;49121;55765;45466;43305;35341;31216
Chocques;342220;62920;2735;3386;3389;5799;4462;5183;6643;6723
Cholet;484303;49280;613049;451435;321851;499882;471013;541162;521430;552627
Chorges;763425;5230;26842;19939;13473;26500;24056;30826;28090;32345
Chouzy-sur-Cisse;574301;41150;738;818;475;751;4616;8329;10939;13082
Clamart;391565;92140;1725465;1449316;931145;2089944;2298488;2528160;2734253;2936829
Clion sur Seugne;491134;17240;0;0;0;17;19;11;10;42
Collonges - Fontaines;721225;69660;120763;96969;70106;92646;73055;68478;75524;83330
Combourg;478057;35270;377445;274818;216965;297540;266528;267969;262920;267557
Combs-la-Ville - Quincy;682146;77380;3181458;3058556;1834253;3851637;4008207;4197319;4308161;4396308
Compans;272047;77290;35359;33426;19210;38205;40000;39917;41082;40731
Conches-en-Ouche;387159;27190;47956;37186;48376;88186;96123;104160;97605;101292
Condé-sur-Huisne;394288;61110;24077;21903;15963;15552;12395;13533;16329;18717
Corbehem;345116;62112;27638;22452;18911;29767;29762;31272;30967;34093
Cormery;571430;37320;127431;109099;77824;97289;101215;109468;117239;121990
Corseul - Languenan;478180;22130;1764;1875;1489;2584;1464;2153;1856;1326
Coudekerque-Branche;281402;59210;11117;7865;9656;26533;12240;7773;7710;7642
Couiza - Montazels;615203;11190;698;735;526;667;593;623;535;577
Courbevoie;382200;92400;4387299;3799683;1951449;4250102;4177376;4109605;3970658;4048997
Courcay - Tauxigny;571448;37310;3194;2941;3814;3709;6041;8599;13772;15474
Courtalain - Saint-Pellerin;394494;28290;7012;5631;3804;4511;4586;4140;5170;5739
Coussac-Bonneval;592840;87500;251;137;194;323;378;868;1269;1187
Cransac;613232;12110;4989;3332;2310;3204;3123;3594;3520;3690
Creutzwald;193409;57150;1386;31;842;2483;2965;3429;5278;8150
Croix du Prince;672600;64000;5957;6093;4705;6884;4622;3975;4777;3665
Croix Sainte;753491;13500;5138;3332;1310;3310;3693;5115;4388;3970
Crouy;271874;2880;563;399;376;1011;596;327;183;457
Cuinchy;342410;62149;34787;28381;28144;47390;44635;47566;46774;47637
Dannemarie;182253;68210;97869;85930;73044;109780;98973;100724;90147;90221
Darsac;734673;43270;2133;2160;2094;3386;2834;6034;8542;7577
Decize;696484;58300;100407;74071;61224;94895;78441;94386;90908;101184
Dégagnac;613174;46340;382;697;267;215;151;308;347;352
Deluz;718429;25960;2682;1354;1240;1352;597;1192;1207;1868
Dieppe;415018;76200;638243;468655;376579;557443;502031;505178;479196;513611
Digoin;694695;71160;31506;24798;18097;19319;15496;19277;18785;21829
Distroff;191320;57134;25900;25583;17999;16867;18734;23789;24275;25644
Douai;345009;59500;2964246;2312445;1960495;3049203;2823221;2974200;2863936;2908863
Drancy;271403;93700;7412637;7692125;3993399;8976601;8782317;8585390;8248559;7883390
Drusenheim;212357;67410;127999;97109;86913;124088;113943;112821;111854;114014
Duttlenheim;214544;67120;158982;134801;122028;185177;164186;163739;161498;162140
Ecully - Tassin;721506;69130;233074;203535;189080;223872;203523;209028;183039;150903
Éguzon-Chantôme;597153;36270;10316;4941;1996;4960;4776;6297;5731;5382
Elbeuf - Saint-Aubin;411173;76410;251017;191034;145887;250325;206850;207415;203369;232776
Éloyes;144436;88510;41095;27531;22178;36583;25630;25110;23985;27749
Entzheim Aéroport;214528;67960;335219;229099;186037;374862;343863;348098;344805;347033
Epfig;214221;67680;37423;26908;21334;26024;22409;24355;26404;30750
Épierre - Saint-Léger;741280;73220;31647;28467;24628;30020;29200;32609;28939;30275
Épouville;413732;76133;1173;1125;895;1772;1542;1808;2218;2367
Err;784843;66800;581;299;697;515;306;342;327;285
Étang-sur-Arroux;694141;71190;105170;91060;76286;76539;67299;72528;71592;81646
Évian-les-Bains;745679;74500;241382;167516;116019;171310;153441;184932;173811;187774
Évron;478552;53600;148718;120082;93350;162097;181310;192127;187563;181167
Farbus;342527;62580;1070;1072;2352;3655;2718;1824;1852;2630
Farschviller;193524;57450;22573;21785;18309;19952;22125;21467;20970;21087
Fécamp;413542;76400;176364;135810;107655;162037;136324;134107;83873;95219
Feuquières - Fressenneville;317503;80210;860;864;1392;6453;9990;15591;15714;19122
Firminy;726729;42700;230206;176539;133279;252108;213812;288912;215058;246647
Flaxlanden;181040;68720;10067;7890;6326;9965;9085;11298;13000;14723
Folligny;447649;50320;6633;4068;2163;4046;8596;12712;12051;15101
Fons - Saint-Mamert;775379;30730;13997;14083;11709;23178;19029;18184;15647;12214
Fontenay-le-Fleury;393405;78330;2614566;2142184;1461947;3165988;2800672;2498898;2181172;1894635
Fontpédrouse;784769;66360;4448;3213;2240;3012;2886;3009;3703;3614
Fougeray - Langon;471201;35390;21801;13835;12307;16822;13342;9697;10415;12838
Fourchambault;696229;58600;25260;17302;14195;16850;14058;17433;18144;19230
Fraisses - Unieux;726737;42490;1337;548;181;527;434;149;808;943
Franchet d'Esperey;417444;51100;123709;80161;70769;73054;53799;46450;42094;45306
Franois;718304;25770;9331;5658;6003;8215;12811;28351;25535;24509
Frévin-Capelle;342212;62690;2396;1808;3906;4836;6540;7935;7961;7262
Fumay;172098;8170;80873;62546;53838;69508;74360;90982;97296;95133
Gagny;113514;93220;5305596;3268203;2469447;5094411;5155124;5225983;5196181;5145520
Gandrange - Amnéville;191742;57175;3965;2916;1646;3235;2456;3584;6408;10354
Gannes;313262;60120;2867;1921;1782;1790;2805;2269;1408;2426
Garchizy;691436;58600;17;7;45;9;6;18;58;65
Garges - Sarcelles;276196;95140;14813702;12826465;4696178;17937343;17968213;17941453;17577233;17191818
Genlis;713313;21110;309879;215996;212774;243273;220044;239377;227823;233853
Génolhac;775213;30450;31793;23565;19329;25944;26077;28878;30160;26947
Germaine;171587;51160;20297;16565;13927;17553;17521;19527;19879;20198
Gilley;718577;25650;25658;10390;13290;21293;16559;16797;13031;21001
Gimont Cahuzac;611772;32200;59368;49236;37732;54608;43555;56408;51139;57265
Givet;172130;8600;104593;75160;65458;81721;79315;89898;92403;102220
Glos - Montfort;415349;27290;0;0;0;830;1253;772;1213;1769
Golfe Juan Vallauris;757641;6220;372400;291411;205498;366150;315547;345442;298891;309030
Goncelin;747477;38570;379638;284655;254941;399451;337837;347844;328314;348637
Gorges;481432;44190;75277;50908;37904;87678;103820;101521;77112;29896
Gournay - Ferrières;381293;76220;8298;5111;3045;7125;10094;13094;10654;13070
Graffenstaden;212241;67400;26235;18085;17816;33255;27446;28914;29117;35392
Gravelines;281246;59820;42591;30628;26881;48190;28939;27184;24117;20857
Gravigny Balizy;393645;91160;404265;156103;104735;489424;507730;530728;543295;553195
Grigny le Sablon;722298;69520;117683;91360;70641;92875;71224;71350;61896;60721
Grisolles;611673;82170;121958;98061;76876;88875;76716;94720;93638;92928
Gros Noyer Saint-Prix;276592;95120;1634111;1480690;767868;1720304;1747157;1739184;1713626;1680959
Guignicourt;171736;2190;158004;130612;120804;120287;122047;137618;131831;126347
Gujan-Mestras;582619;33470;438839;355451;282948;423550;370600;386863;358233;372350
Habsheim;182089;68440;184145;153811;161472;245909;227801;228017;221431;225468
Hachette;297523;59530;26;18;11;8;2;5;5;6
Halte de Fontanil – Lycée de Drap;565143;6340;37402;26294;18730;32827;31377;36186;29718;24618
Ham-en-Artois;342261;62190;2550;2895;2413;2454;3036;3193;3738;4195
Hangest-sur-Somme;313114;80310;45553;34438;32903;43635;39230;39105;37668;42167
Hasenrain;181024;68100;0;0;0;0;0;566;395;378
Hautmont;295568;59330;54912;41907;43155;83504;77176;79194;68744;72206
Hayange;191239;57700;5315;6094;5225;8356;7423;9871;17611;28498
Heilly;316059;80113;8233;6721;4490;5151;3945;4278;4628;4917
Hénin-Beaumont;345157;62110;495756;382345;340543;550540;516610;525421;489436;496665
Herrlisheim-près-Colmar;182329;68420;58589;54133;46806;51225;51605;56497;53434;47744
Hesdigneul-lès-Boulogne;317107;62196;28112;25868;23801;30185;25969;27056;26452;28132
Hesdin;317222;62140;45253;24016;4175;6425;6792;36154;54288;62376
Hombourg-Haut;193276;57470;12961;8963;6757;10604;7687;9175;5873;4927
Houdan;393462;78550;607515;577175;366492;809939;878035;959657;996756;1026284
Issoudun;597062;36100;197012;143177;120150;180515;163340;175512;169093;169757
Ivry-sur-Seine;545301;94200;4107947;2718878;2174567;4974218;4987697;5034584;4976350;4899522
Jacques Monod la Demi-Lieue;413716;76290;7077;7089;4865;7934;5428;8120;8253;10051
Janzé;471334;35150;215585;144677;138538;160500;159868;164231;245238;294176
Jœuf;191700;54240;42342;33378;26881;37612;30885;37144;34647;35302
Joncet;784710;66193;101;76;54;111;29;49;33;29
Kalhausen;193664;57412;14724;11747;7484;10784;12902;12170;12860;13738
Kerhuon;474213;29480;39605;31808;35965;47127;36793;38626;39221;38793
Kuntzig;191312;57110;1355;999;1135;929;622;561;1398;1865
La Barasse;635581;13011;13658;10255;7390;10851;8554;7963;5171;4047
La Basse Indre - Saint-Herblain;481069;44610;36375;26223;22448;35569;24395;28283;30153;25242
La Bastide - Saint-Laurent-les-Bains;775171;48250;26451;21510;13692;23374;24742;26453;31174;35358
La Brillanne - Oraison;751271;4700;30411;17477;12069;29036;36763;49826;44506;41003
La Chapelle-sur-Erdre;481564;44240;29796;22876;18377;31155;25404;24352;24850;20869
La Chaumusse - Fort-du-Plasne;715391;39150;1843;2335;1747;845;1863;3669;3918;3331
La Couronne Carro;753541;13500;42629;25599;12542;25227;21672;30708;31843;34769
La Crau;755611;83260;98175;69565;40643;64283;56357;61266;44179;15687
La Faloise;313239;80250;10600;9743;7969;8722;8237;8856;9104;9207
La Fère;296632;2800;116927;110741;94403;102354;104921;127578;134598;135172
La Frette - Montigny;381871;95530;957431;877452;412039;863960;875843;890871;888918;894694
La Gouesnière - Cancale - Saint-Méloir-des-Ondes;478099;35350;72140;48289;34881;49866;40271;31673;25953;26543
La Grand-Combe;775254;30110;28946;22005;14586;18485;19328;24853;24681;19051
La Haie-Fouassière;481416;44690;139927;102217;87906;153534;156587;152935;123439;89051
La Méaugon;473124;22440;86;546;803;672;141;9;7;45
La Miouze - Rochefort;641290;63310;1;0;3;226;530;265;175;744
La Pomme;751719;13011;14500;14168;8093;8213;5903;7603;5644;4165
La Redonne Ensuès;753574;13820;62581;43303;28337;46278;41776;46974;40809;47873
La Ricamarie;726703;42150;13937;8736;5261;10351;7720;9797;9443;11867
La Rivière-Drugeon;715144;25560;30392;28364;26061;24754;23125;23565;18742;17667
La Seyne - Six-Fours;755264;83500;348603;289577;209148;320849;293355;325938;296391;279740
La Taye;394403;28110;13116;9605;8999;10950;11314;13316;13412;13670
La Teste-de-Buch;582643;33260;395380;324489;256383;385974;336431;344846;321391;337360
La Trinité Victor;756767;6340;49685;31921;29036;61038;55930;60792;49911;43333
La Valbonne;723577;1360;211394;158092;128045;201648;180282;195194;183082;187822
La Verpillière;723395;38290;1036063;777685;607146;937186;850344;832502;735227;750245
La Ville Gozet;641191;3100;466;719;635;453;321;328;411;777
Lacelle;592147;19170;1830;1528;870;1118;918;1212;777;854
L'Aiguille;592634;87110;3242;2301;1852;3261;2746;4685;5854;5492
Lamanon;753731;13113;42006;33790;22952;39147;30637;31118;26519;24474
Lamballe;473108;22400;611161;454645;348871;493303;444534;440120;419407;415735
Lamothe-Landerron;582882;33190;1601;2647;2176;2617;2429;2823;3331;3541
Lamothe-Montravel;584151;24230;9465;7936;4349;2920;3147;5069;6315;6628
Landébia;473264;22130;1784;1342;1847;2057;3078;3324;3656;5031
Landerneau;474239;29800;769296;564950;444597;636579;567152;584995;589344;595751
Lantenay;712323;21370;17267;10431;11780;13643;13520;14142;13492;14812
Laon;296012;2000;827364;665718;525446;692050;677171;772982;781255;809221
Lapeyrouse;641043;63700;8109;5452;3137;5658;4130;3908;3790;4359
Larche;594424;19600;3;0;13;44;16;109;67;280
Lardenne;611939;31000;16374;10203;10484;11783;14783;17190;16736;17025
L'Argentière Les Écrins;763557;5120;52309;35493;29970;45379;40298;48578;51154;53159
Lavaufranche;597740;23600;936;408;251;518;421;394;294;301
Lavaur;615476;81500;149312;123472;98271;137284;121098;149360;138951;154669
Lavoûte-sur-Loire;734707;43800;12993;12389;8303;8833;7061;6330;9611;9780
Le Blanc-Mesnil;271478;93150;3347231;3044176;2040928;4052899;4006261;3953284;3823291;3698307
Le Breuil-sur-Couze;734228;63340;41661;31076;24702;28746;20625;23247;21098;20173
Le Buet;746883;74660;2857;2262;1890;2074;1642;1418;1404;1377
Le Buisson-de-Cadouin;595751;24480;45599;33183;23717;36727;43165;49851;47744;52212
Le Mans hôpital-université;000032;72000;0;0;0;0;0;0;0;0
Le Monastier-Pin-Moriès;783308;48100;458;76;235;94;329;324;357;531
Le Pénity;473553;22850;6674;4820;3235;2752;3098;3028;2742;2809
Le Pont-de-Beauvoisin;741470;38480;166219;101027;89022;143917;165824;205169;183423;208662
Le Quesnoy;295857;59530;423766;320999;304744;424490;393995;396415;371186;406807
Le Rouget;645192;15290;6750;6491;3554;6155;9298;11043;12407;14420
Le Teich;582601;33470;293496;223906;186120;260169;214704;207080;189804;194788
Le Teil;764472;7400;7355;3480;3311;8047;4794;1967;4536;9167
Le Trayas;757575;83530;12545;10088;6186;7145;3821;4583;5471;6564
Lentilly;721555;69210;302612;250630;219037;333709;313126;316728;272949;264332
Les Aubrais;543017;45400;1286538;1113331;888807;1592924;1585092;1666961;1620529;1694525
Les Clairières de Verneuil;386664;78480;459575;368213;194818;375772;385612;398401;402805;405538
Les Fontinettes;317305;62100;28971;17846;14946;30715;25605;26935;24662;22148
Les Lacs;471516;35500;19437;15451;13488;16383;14661;14078;12276;13065
Les Mureaux;386680;78130;4588884;3678520;1739778;4212499;4169211;4152039;4054618;3943190
Les Perrières;691600;58640;1369;521;487;1831;746;579;1070;1717
Les Rosiers-sur-Loire;487876;49350;66880;55385;41186;60806;53053;51409;48540;52118
Les Sables-d'Olonne;486449;85100;534771;403509;287073;416103;386709;413973;395451;392972
Les Versannes;595702;24330;2636;1217;813;1600;1699;2885;2641;1688
L'Escarène;756809;6440;28387;18129;17737;36730;31953;33789;24023;21104
L'Étang-la-Ville - Les Sablons;726109;78620;0;0;0;0;0;0;0;0
Lexos;613489;82330;14578;9756;6112;8511;6027;7007;5923;5148
Liancourt-Saint-Pierre;381210;60240;26872;18934;14353;23845;25428;31326;30593;30159
Libercourt;345256;62820;774844;599534;550226;839687;771411;784942;764323;784994
Lille CHR;109306;59000;312323;209963;192628;287018;239606;239655;219877;216828
Limay;381582;78520;810884;756757;359551;671707;630158;592489;544316;532193
L'Isle-Jourdain;611806;32600;295866;239853;206838;265668;229200;278963;262224;262164
Liverdun;141069;54460;35166;24322;21124;29876;27533;24551;20434;18548
Livron-sur-Drôme;761247;26250;82275;53716;41665;61938;48642;54515;45918;45386
Loches;571471;37600;184591;191929;196188;231758;220117;214429;222283;224545
Longpont;271775;2600;238;157;111;114;124;149;108;177
Longueau;313049;80330;430759;327802;285493;475674;439365;460088;446487;468219
Lons-le-Saunier;718239;39000;412898;318419;255434;339975;327804;371572;343976;354204
Loreux;576157;41200;11593;5905;4520;4223;4323;4640;4508;4652
Loriol-sur-Drôme;761262;26270;79347;56630;39667;62121;45255;51460;47475;55570
Lorraine TGV;142109;57420;458149;390064;258584;601834;583523;683277;616699;647339
Louhans;713735;71500;33536;22091;19482;31418;26942;28890;24194;28046
Loulay;491290;17330;896;1335;1553;2337;1071;613;1245;984
Loures - Barbazan;611178;65370;1807;895;833;1329;1101;1235;1296;1389
Louroux-de-Bouble;641050;3330;3290;2003;1987;2647;1573;1693;3188;3372
Lozanne;721423;69380;344722;247333;187167;303063;270352;326687;303163;311082
Luant;597096;36350;1741;1387;655;107;30;268;755;924
Lubersac;594671;19210;218;190;297;293;388;1948;1646;2198
Luçay-le-Mâle;576363;36360;30316;20077;12396;12090;12893;14251;15517;15277
Lucé;394015;28110;16305;14457;12514;20486;23380;25277;23957;25563
Ludon-Médoc;581181;33290;60311;49986;37832;44365;37270;31621;19439;26090
Lumes;172189;8440;20714;16835;16421;15942;17542;21534;20465;20192
Lurbe-Saint-Christau;672741;64660;1053;1490;1443;2048;1201;1854;851;0
Lusignan;485540;86600;54052;37893;31615;51159;42193;45138;42441;44928
Lutzelbourg;215160;57820;70226;59383;50185;73763;68739;62679;57524;59662
Lutzelhouse;214650;67130;138935;115429;107050;116951;131970;152469;151388;159059
Luzenac - Garanou;611558;9250;11181;8402;5151;9222;8507;10892;9797;9369
Luzy;696534;58170;35713;27943;18613;28921;25180;29424;26487;24750
Lycée Henri Sellier;988717;93190;1648127;1320614;1621273;1335610;1332694;1338409;1316397;1288152
Lyon Saint-Exupéry TGV;762906;69125;1666530;1404193;1117690;2392925;1781211;1490050;1245992;1241650
Lyon Vaise;721001;69009;914111;744772;510839;882406;568689;629793;554416;570010
Magalas;781666;34480;9554;4710;3285;3518;3982;3561;2268;2018
Magenta;281873;75010;33045860;27478179;13462720;43016926;44197645;45366168;45730527;45905097
Magland;746412;74300;30381;23993;18143;24673;18787;21825;16746;20754
Maisons-Alfort - Alfortville;681155;94700;11252775;9556579;5704366;13624825;13921116;14180872;14204397;14171754
Maisse;681486;91720;137968;179356;84596;167203;180378;195208;207032;219092
Mâlain;713065;21410;62336;43075;36504;35042;33070;34726;35658;35307
Malesherbes;684415;45330;336626;270366;224094;411354;431003;452088;463114;476343
Malling;191627;57480;33;5;9;30;11;8;13;42
Manosque - Gréoux-les-Bains;751321;4100;89993;72003;44366;90904;110502;137799;126035;131216
Marcelcave;313445;80720;56264;46928;43568;50551;45126;41982;41023;40878
Mareil-Marly;382812;78750;0;0;0;53506;58655;64132;69257;74243
Maresquel-Ecquemicourt;317206;62990;2151;1346;1;0;15;165;571;711
Margut - Fromy;172411;8370;239;46;195;57;156;259;167;568
