nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Venerque - Vernet;611392;31810;194542;156003;130582;174216;159166;196492;189512;188479
Vergèze - Codognan;775114;30310;401842;315649;204051;243949;218204;247436;221370;212990
Vern-sur-Seiche;471029;35770;10521;7695;6368;6696;7889;6678;9349;9368
Versailles Chantiers;393009;78000;18934500;15922909;12376593;22909416;23336771;23974181;24132107;24191310
Vertaizon;734426;63910;159478;123700;115090;148924;129123;138218;124762;132294
Vervins;296129;2140;68497;48176;40255;39575;45483;57553;59760;63320
Veuves - Monteaux;574327;41150;4877;7487;5049;2559;4976;7828;8330;8345
Veynes Dévoluy;763300;5400;73563;64411;39723;77042;78109;93145;88367;92178
Vic-sur-Cère;645440;15800;8812;10643;6865;9244;10451;11805;11997;12489
Vielmur-sur-Agout;615492;81570;24947;19473;16881;21524;18237;20724;21009;24362
Vigeois;594218;19410;7772;7152;6736;7963;7841;8161;9614;8686
Vigneux-sur-Seine;681304;91270;5334560;4745315;3080249;6458442;6554135;6647451;6625906;6569971
Vignory;142232;52320;2471;3397;3497;4056;2904;4116;4669;4292
Villefranche-sur-Cher;576884;41200;24293;23779;21318;27715;21068;23003;24318;25589
Villefranque;673616;64990;1164;771;360;14;12;39;26;280
Villeneuve-lès-Maguelone;773515;34750;48978;31176;13808;12476;10572;14115;11151;9789
Villeneuve-sur-Allier;696310;3460;548;689;620;874;149;190;265;172
Villennes-sur-Seine;386649;78670;975080;781301;285276;541158;587565;639197;682829;726073
Villers-Bretonneux;313437;80380;194818;164386;137411;168956;154204;153453;145276;143251
Villers-Saint-Paul;276378;60870;80039;68217;53101;74251;64875;72088;72176;76135
Villiers-en-Lieu;175208;52100;509;490;419;681;606;682;815;1053
Villiers-le-Bel - Gonesse - Arnouville;276220;95400;9912578;7945658;3904492;12001779;12130982;12269112;12184681;12047909
Vincey;144063;88450;55978;29570;16652;17932;17225;19685;21937;26350
Viry-Noureuil;297051;2300;354;427;195;280;390;278;549;1064
Vittel;144279;88800;75092;56699;42037;53800;53873;59880;68356;66226
Vivonne;575290;86370;38183;30717;24729;34012;33548;37480;37010;43995
Voivres-lès-le-Mans;396358;72210;13557;9794;8191;22708;25628;24988;24399;22490
Voreppe;747337;38340;370438;288010;228572;328319;272717;280224;254172;271611
Voves;545707;28150;48557;29780;26418;42483;34200;33236;27529;27688
Wacquemoulin;316208;30210;1482;1302;1681;3380;3783;5399;6538;7124
Walheim;181065;68130;5556;3868;3444;6940;5902;6420;6135;6043
Wattignies - Templemars;286526;59680;53660;43030;36998;69841;59292;61813;58718;66457
Wesserling;182618;68470;46314;37173;30909;43828;39150;42020;41751;44627
Weyersheim;213678;67720;176599;151081;130434;164563;155497;155940;157555;160298
Wingen-sur-Moder;213744;67290;142127;117977;90890;121851;128401;130779;129989;131362
Wisches;214676;67130;98781;85596;79288;88851;91479;100373;103452;112884
Wittelsheim;182683;68310;0;0;0;351;39;0;0;0
Woincourt;317511;80520;674;846;1106;4995;7732;11946;13623;14320
Xeuilley;141549;54990;0;0;270;1154;1418;3770;4546;4643
Ytrac;645101;15130;139;37;17;49;26;25;34;2
Yvetot;413385;76190;1039150;787592;687572;997167;902928;920117;909234;934997
Achiet-le-Grand;342048;62121;80648;71432;67305;97848;92323;96451;92084;92018
Aéroport Charles de Gaulle 1;271460;93290;6584031;3460437;2177954;7971396;7590098;7199779;6690263;6226179
Aéroport Charles de Gaulle 2 TGV;271494;95700;12949183;6281244;5011999;15227840;14907773;14649835;13534634;12976556
Agen;586008;47000;1540511;1184007;860964;1211323;1109199;1194455;1141620;1183150
